pname,playtime
Yermak,37124287
glosham,32438369
Nebukadnezar,29081980
heteroy,26342042
svendre,26089618
stickyfingers,23809296
Tossi,23358244
78291,22928389
nubinia,20753314
CALLOUS,19991236
avis,19973316
Railbird80,19530254
Morgon,19199972
Nexos,19020042
Tenaya,18388946
firemonkey,18226816
Esekla,17908108
comborobin,17878358
Chiseanne,17649374
Turgon,17403929
Ge0ff,16499765
Gorice,16327431
magipi,15643177
bmj180,15587052
kraphead,15514806
Blackmore,15500041
dolemite99,14909669
Gerad,14884266
Airwolf,14706806
bmfx,14543389
4thArraOfDagon,14480806
pedritolo,14173543
Bowmetheus,14080516
Surr,14067569
sanka,14011374
chukamok,13924456
HANFGEIST,13837255
clouded,13788595
Charly,13734018
jejorda2,13551516
p0werm0de,13490243
RoGGa,13293768
edsrzf,13252820
shummie,12864306
nht,12760285
SlowGraham,12638663
Congressman,12631205
Avigdore,12544823
MackTheFife,12517256
Pooter,12249806
Mandevil,12188094
Xenophilius,12138529
slep,12108984
rast,11867697
SaintRoka,11813398
particleface,11790023
sage1234,11712508
vogonpoet,11547769
Engine,11500056
Sphara,11484447
horredgrones,11475365
WhatIsLove,11451736
tempest,11344829
porpoise,11309510
soul,11204731
robertstho,11202057
Karagy,11144285
mdonais,11098114
nago,11058976
enigmoo,11051671
murphyslaw,10926720
emiel,10925923
KiloByte,10911256
flameaway,10774756
Prakerore,10767305
sophia,10719629
Forgeling,10718626
jeanjacques,10667855
MrPlanck,10646072
lokapujya,10600344
loopi,10539932
kuniqs,10537282
Bellerephron,10493095
gressup,10472863
grimtooth,10406425
MorganLeah,10393189
MirrMurr,10377307
WalkerBoh,10114531
asdu,9906119
tlatlagkaus,9884054
Vidiiot,9826099
MarvinPA,9660030
MordorOrchid,9648529
Crut,9610268
tedric,9604186
Elbereth,9572213
NicuTudor,9549793
ParticlePhysics,9531936
grandjackal,9466055
justnoob,9449261
rob,9440257
Peloso,9435304
mr0t,9427821
agentgt,9376801
willhelm,9316499
Sar,9291962
namelastname112,9248314
iamserjio,9159870
archon2,9128980
Huckle,9119921
Sbamiri,8981240
minmay,8918058
LordSloth,8835266
DrPraetor,8802406
sorear,8787653
MadDasher,8757583
Johan,8720724
cjo,8666591
McSplat,8662196
PublicControlBot,8625314
styxcanada,8612751
geewiz,8592112
Amnesiac,8542138
Dynast,8536669
GordonOverkill,8530321
runewalsh,8525715
pigah,8500266
Eli,8498831
Halgar,8471609
mooon,8437873
letownia,8424432
seyes,8388255
Sharkman1231,8387553
TheMeInTeam,8374813
bonscott,8355751
Iaido,8354709
MuffinSoup,8313501
kazak,8294368
BerryKnight,8290695
casual,8277983
xnavy,8262086
frimble,8213690
bairyn,8212389
syban,8169213
PurpleRed,8146828
DEFE,8072181
gameguard,8058987
Elynae,8013613
Duffy,8010575
hmm,8002118
Poncheis,7930889
Aarujn,7912975
SnubMonkey,7894907
qw,7892381
xyblor,7890133
JFunk,7885454
cerealjynx,7835864
Angmar,7799528
P0WERM0DE,7777171
CryingNoob,7749280
Rubinko,7733046
EnegeticOcto,7715553
LexAckson,7709237
Phlounder,7697917
taxman66,7692033
mopl,7685608
M4edhros,7680017
zkyp,7677247
Gargoyl,7667703
Thomus,7619185
Ultraviolent4,7600432
EnterQ,7598404
nmf,7580879
Grimm,7567390
aleksiL,7532637
mikee,7531868
wearedevo,7528448
Jovan,7506674
KamiKatze,7491820
belegose,7490844
Nomi,7480599
Herrn,7427959
russell,7365681
rockit,7344628
linjason,7328767
Enish,7316822
DildoBatman,7249879
RepHenryClay,7246183
hyperbolic,7231701
Insomniac,7229733
dvd,7215429
Placid,7214108
Torious,7204286
Senkrad,7186853
antares,7171773
booing,7168299
vt,7160604
Swilhelm,7152434
ir0nHorse,7123123
Ijustatesigmund,7106716
BeardTony,7094107
japicx,7082058
n103509,7075251
andrew,7068616
TheNamelessOne,7065182
aurelian,7029922
johnnyzero,7012349
spsoon,7012271
thrilhelm,7006082
Oroborous,6999646
CrazyArbalest,6922980
henryci,6911878
Eronarn,6894911
Chimkentus,6882744
Apathanos,6862290
fleugma,6859836
fearitself,6850899
nublet,6843853
keymashgrqeeg,6840945
ldf,6834439
reptisaurus,6826577
PeterLawrence,6819904
agentchuck,6795216
gimp,6794639
cod,6793825
grinrain,6771907
trailerparkvixen,6747535
cciulla,6746911
ProzacElf,6735507
jlumianski,6719348
CanOfBees,6714647
Leszczynek,6712921
Sergey,6706449
NeAGen181,6639578
aTarkinC,6637875
rkdn42,6632046
murphy,6607816
Mong,6607184
HilariousDeathArtist,6601568
